mapname,African-American,White,Hispanic/Latino,Asian,Other,avMdinc,perBach
Frankford,0.44575556,0.254118493,0.252261242,0.017245904,0.030618666,28204.3,8.0767
Franklin Mills,0.021230325,0.770715547,0.090585668,0.109475532,0.007992078,58395.8,17.3219
Franklinville,0.484489033,0.018197824,0.480579728,0.008324979,0.008408096,22049,6.7742
Garden Court,0.521758944,0.351212705,0.039114963,0.058441386,0.029471127,35700.5,45.3461
Germantown - Morton,0.891879398,0.072628546,0.022297013,0.002334602,0.010860119,30166.2,16.6032
Germantown - Penn Knox,0.772696729,0.175054452,0.026323414,0.005168863,0.020755227,21164,18.8992
Germantown - Westside,0.657177597,0.261685633,0.039839954,0.0190726,0.022223602,30910.7,32.3952
Germany Hill,0.026906605,0.857372866,0.023186112,0.070051407,0.022482448,66988.4,50.7249
Girard Estates,0.08452388,0.799721916,0.034887443,0.061232551,0.019634041,46125,21.7301
Glenwood,0.950673058,0.010319603,0.027217487,0.001575105,0.010214182,22046.4,4.7571
Graduate Hospital,0.279828687,0.573759086,0.038254658,0.060391856,0.047765629,60792.2,59.7533
Grays Ferry,0.638153006,0.192260447,0.056411305,0.072048275,0.041126968,29032.1,16.5873
Greenwich,0.119201423,0.439878238,0.136855275,0.263390649,0.040673661,34277.1,17.5983
Haddington,0.946007057,0.015812965,0.022645833,0.003219988,0.01231395,22329.5,10.2471
Harrowgate,0.229044527,0.242756136,0.478835632,0.012063731,0.037299905,24770.8,6.3925
Hartranft,0.508456414,0.121096416,0.342272261,0.015443842,0.012730954,17560.3,5.9546
Haverford North,0.835833257,0.058842993,0.04084149,0.040937917,0.023543365,17970.2,14.1298
Hawthorne,0.112206957,0.673932055,0.097261274,0.088860394,0.027738888,66624.1,63.6922
Holmesburg,0.243202542,0.56527,0.127479714,0.031707634,0.032340064,33485.9,11.1006
Hunting Park,0.356093714,0.038486588,0.579231549,0.016438932,0.009749116,20446,4.8473
Industrial,0.656566131,0.16613257,0.053357263,0.098468559,0.025474713,24842,10.5217
Juniata Park,0.179836967,0.157234899,0.555750974,0.080278084,0.026899026,27745.4,7.2373
Kingsessing,0.923580342,0.036433901,0.013370187,0.011186564,0.015428851,28828.3,10.2586
Lawndale,0.419127577,0.254447882,0.195762048,0.109795439,0.020866964,35651.6,12.7674
Lexington Park,0.126725628,0.702057371,0.068034595,0.087498876,0.015683025,45374.9,18.7621
Logan,0.803247214,0.071207952,0.080507333,0.027361351,0.017676193,26999.9,9.2656
Logan Square,0.077762171,0.71129074,0.056457898,0.134028082,0.020461029,59889.1,70.6988
Lower Moyamensing,0.090110572,0.570734178,0.088718858,0.201283537,0.049152785,37625.3,17.8081
Ludlow,0.524297136,0.188953429,0.229432031,0.0233252,0.033990925,21826.4,14.2375
Manayunk,0.083241531,0.85825073,0.028692237,0.022054409,0.007760786,63921.6,49.8748
Mantua,0.742940594,0.167603575,0.022760938,0.04928697,0.017407631,24012.6,23.1357
Mayfair,0.180686659,0.577220345,0.152221671,0.072677997,0.017193241,42430.5,16.4596
McGuire,0.088512865,0.041702094,0.842278312,0.024019481,0.003486681,15268.3,4.645
Mechanicsville,0,0.933222102,0.017152331,0.0471264,0.002497396,61020,16.1893
